ga.dateHourMinute;ga.userType;ga.sessionCount;ga.userBucket;ga.sessionDurationBucket;ga.sessionsWithEvent;ga.uniqueDimensionCombinations;Sucess
201803272048;Returning Visitor;4;64;1;1;1;FALSE
201803272107;New Visitor;1;3;27;1;1;FALSE
201803272132;New Visitor;1;5;4;1;1;FALSE
201803272141;New Visitor;1;65;28;1;1;FALSE
201803272142;New Visitor;1;65;28;0;1;FALSE
201803272142;Returning Visitor;2;3;2;0;1;FALSE
201803272235;New Visitor;1;20;1;1;1;FALSE
201803272313;New Visitor;1;26;163;1;1;FALSE
201803272314;New Visitor;1;26;163;0;1;FALSE
201803272323;New Visitor;1;36;2;1;1;FALSE
201803280459;New Visitor;1;43;2;1;1;FALSE
201803280909;New Visitor;1;96;3;1;1;FALSE
201803280914;New Visitor;1;90;1543;0;1;FALSE
201803281011;New Visitor;1;10;81;1;1;FALSE
201803281255;New Visitor;1;68;1;1;1;FALSE
201803281340;New Visitor;1;47;2;1;1;FALSE
201803281340;New Visitor;1;88;2;1;1;FALSE
201803281348;New Visitor;1;26;73;1;1;FALSE
201803281501;New Visitor;1;22;272;1;1;FALSE
201803281504;New Visitor;1;22;272;0;1;FALSE
201803281505;New Visitor;1;22;272;0;1;FALSE
201803281704;New Visitor;1;100;1;1;1;FALSE
201803281727;New Visitor;1;35;2;1;1;FALSE
201803281752;New Visitor;1;72;41;1;1;FALSE
201803281847;New Visitor;1;100;4;1;1;FALSE
201803281921;New Visitor;1;39;1;1;1;FALSE
201803281926;New Visitor;1;8;47;1;1;FALSE
201803281927;New Visitor;1;8;47;0;1;FALSE
201803282144;New Visitor;1;56;18;1;1;FALSE
201803282150;New Visitor;1;31;401;1;1;FALSE
201803282151;New Visitor;1;31;401;0;1;FALSE
201803282152;New Visitor;1;31;401;0;1;FALSE
201803282153;New Visitor;1;31;401;0;1;FALSE
201803282257;New Visitor;1;95;2;1;1;FALSE
